_id,title,url,tag_current,id_related,title_related,tag_related
235,The real future of space exploration,https://www.ted.com/talks/burt_rutan_the_real_future_of_space_exploration,"design,engineering,industrial design,invention,business,entrepreneur,flight,rocket science,space","335.0,429.0","Our next giant leap,My dream of a flying car","science,technology,invention,entrepreneur,DNA,biotech,genetics,biology,biodiversity,ecology,ocean,culture,design,architecture,cities,collaboration,death,interview,memory,urban planning,United States,natural disaster"
287,Great cars are great art,https://www.ted.com/talks/chris_bangle_great_cars_are_great_art,"technology,design,industrial design,invention,business,transportation,art","27.0,27.0","Organic design, inspired by nature,Organic design, inspired by nature","design,business,entrepreneur,architecture,urban planning,gaming,homelessness,design,business,entrepreneur,architecture,urban planning,gaming,homelessness"
467,To invent is to give,https://www.ted.com/talks/dean_kamen_to_invent_is_to_give,"science,sustainability,technology,industrial design,invention,business,transportation,innovation,robots,social change",1174.0,A future beyond traffic gridlock,"culture,global issues,music,collaboration,social change,art,storytelling,activism,film"
973,"Choice, happiness and spaghetti sauce",https://www.ted.com/talks/malcolm_gladwell_choice_happiness_and_spaghetti_sauce,"culture,business,economics,media,food,consumerism,marketing,storytelling,decision-making","44912.0,44912.0","Mentalism, mind reading and the art of getting inside your head,Mentalism, mind reading and the art of getting inside your head","education,storytelling,leadership,sports,motivation,personal growth,TEDx,kids,education,storytelling,leadership,sports,motivation,personal growth,TEDx,kids"
1045,Meet the founder of the blog revolution,https://www.ted.com/talks/mena_trott_meet_the_founder_of_the_blog_revolution,"culture,design,business,entertainment,software,storytelling,communication,community",44912.0,"Mentalism, mind reading and the art of getting inside your head","education,storytelling,leadership,sports,motivation,personal growth,TEDx,kids"
1094,Why people believe weird things,https://www.ted.com/talks/michael_shermer_why_people_believe_weird_things,"culture,science,entertainment,illusion,religion","44912.0,44912.0,44912.0","Mentalism, mind reading and the art of getting inside your head,Mentalism, mind reading and the art of getting inside your head,Mentalism, mind reading and the art of getting inside your head","education,storytelling,leadership,sports,motivation,personal growth,TEDx,kids,education,storytelling,leadership,sports,motivation,personal growth,TEDx,kids,education,storytelling,leadership,sports,motivation,personal growth,TEDx,kids"
1548,How architecture can connect us,https://www.ted.com/talks/thom_mayne_how_architecture_can_connect_us,"culture,design,invention,architecture,cities",27.0,"Organic design, inspired by nature","design,business,entrepreneur,architecture,urban planning,gaming,homelessness"
1670,Photos of endangered cultures,https://www.ted.com/talks/phil_borges_photos_of_endangered_cultures,"culture,global issues,design,social change,art,storytelling,activism,film,photography,indigenous peoples",2264.0,Gorgeous portraits of the world's vanishing people,"entertainment,music,performance,youth"
2622,Greening the ghetto,https://www.ted.com/talks/majora_carter_greening_the_ghetto,"environment,politics,sustainability,business,cities,activism,pollution,equality","1892.0,1892.0,1892.0","A new vision for rebuilding Detroit,A new vision for rebuilding Detroit,A new vision for rebuilding Detroit","culture,science,technology,invention,business,biotech,robots,future,culture,science,technology,invention,business,biotech,robots,future,culture,science,technology,invention,business,biotech,robots,future"
3813,In praise of slowness,https://www.ted.com/talks/carl_honore_in_praise_of_slowness,"culture,health,psychology,parenting,happiness,personal growth,potential,decision-making,work-life balance","1580.0,1580.0","Smart failure for a fast-changing world,Smart failure for a fast-changing world","design,creativity,art,illusion,Brazil,animation,design,creativity,art,illusion,Brazil,animation"
4341,My wish: Build the Encyclopedia of Life,https://www.ted.com/talks/e_o_wilson_my_wish_build_the_encyclopedia_of_life,"global issues,science,technology,nature,biology,TED Prize,biodiversity,insects,ecology","509.0,509.0","How bacteria ""talk"",How bacteria ""talk""","culture,global issues,science,disease,food,health,health care,culture,global issues,science,disease,food,health,health care"
4553,Nerdcore comedy,https://www.ted.com/talks/ze_frank_nerdcore_comedy,"culture,entertainment,performance,software,collaboration,community,dance,demo,comedy,humor","44912.0,44912.0","Mentalism, mind reading and the art of getting inside your head,Mentalism, mind reading and the art of getting inside your head","education,storytelling,leadership,sports,motivation,personal growth,TEDx,kids,education,storytelling,leadership,sports,motivation,personal growth,TEDx,kids"
4755,The best stats you've ever seen,https://www.ted.com/talks/hans_rosling_the_best_stats_you_ve_ever_seen,"global issues,economics,health,Africa,statistics,demo,Asia,visualizations,math,international development","2056.0,2056.0","Own your body's data,Own your body's data","global issues,technology,design,entrepreneur,education,social change,philanthropy,kids,global issues,technology,design,entrepreneur,education,social change,philanthropy,kids"
4847,The paradox of choice,https://www.ted.com/talks/barry_schwartz_the_paradox_of_choice,"culture,business,economics,psychology,happiness,personal growth,potential,decision-making","10361.0,10361.0"," Do you really know why you do what you do?, Do you really know why you do what you do?","culture,entertainment,art,photography,culture,entertainment,art,photography"
5303,Casting a spell on the cello,https://www.ted.com/talks/caroline_lavelle_casting_a_spell_on_the_cello,"entertainment,music,performance",22799.0,"""Afterneath"" / ""Killing Me""","science,technology,biotech,genetics,evolution,biology,kids"
5677,"""Kiteflyer's Hill""",https://www.ted.com/talks/eddi_reader_kiteflyer_s_hill,"entertainment,music,performance,memory",22799.0,"""Afterneath"" / ""Killing Me""","science,technology,biotech,genetics,evolution,biology,kids"
6026,Cape Breton fiddling in reel time,https://www.ted.com/talks/natalie_macmaster_cape_breton_fiddling_in_reel_time,"entertainment,music,performance,history",45.0,An 11-year-old's magical violin,"climate change,culture,environment,global issues,science,sustainability,technology,transportation,renewable energy"
6418,Swim with the giant sunfish,https://www.ted.com/talks/tierney_thys_swim_with_the_giant_sunfish,"climate change,environment,global issues,science,technology,animals,fish,biodiversity,marine biology,ocean",973.0,Tagging tuna in the deep ocean,"culture,business,economics,media,food,consumerism,marketing,storytelling,decision-making"
6525,Salvation (and profit) in greentech,https://www.ted.com/talks/john_doerr_salvation_and_profit_in_greentech,"climate change,environment,global issues,sustainability,technology,investing",2784.0,A climate solution where all sides can win,"culture,environment,design,cities,social change,art,photography,pollution,TED Prize"
6569,How PhotoSynth can connect the world's images,https://www.ted.com/talks/blaise_aguera_y_arcas_how_photosynth_can_connect_the_world_s_images,"technology,software,collaboration,photography,demo,visualizations,virtual reality","131.0,131.0,131.0","Rethink the desktop with BumpTop,Rethink the desktop with BumpTop,Rethink the desktop with BumpTop","global issues,design,engineering,industrial design,invention,renewable energy,global issues,design,engineering,industrial design,invention,renewable energy,global issues,design,engineering,industrial design,invention,renewable energy"
6761,Tour Microsoft's Virtual Earth,https://www.ted.com/talks/stephen_lawler_tour_microsoft_s_virtual_earth,"technology,design,virtual reality,maps",131.0,Rethink the desktop with BumpTop,"global issues,design,engineering,industrial design,invention,renewable energy"
6883,Inside the world's deepest caves,https://www.ted.com/talks/bill_stone_inside_the_world_s_deepest_caves,"technology,energy,exploration,Moon,Planets,space","335.0,335.0","Our next giant leap,Our next giant leap","science,technology,invention,entrepreneur,DNA,biotech,genetics,biology,biodiversity,ecology,ocean,science,technology,invention,entrepreneur,DNA,biotech,genetics,biology,biodiversity,ecology,ocean"
7129,"Spore, birth of a game",https://www.ted.com/talks/will_wright_spore_birth_of_a_game,"technology,design,entertainment,demo,gaming",1278.0,How games make kids smarter,"culture,entertainment,performance,love,philosophy,poetry"
7732,"""Thula Mama""",https://www.ted.com/talks/vusi_mahlasela_thula_mama,"entertainment,music,performance,Africa,activism,women","22799.0,22799.0","""Afterneath"" / ""Killing Me"",""Afterneath"" / ""Killing Me""","science,technology,biotech,genetics,evolution,biology,kids,science,technology,biotech,genetics,evolution,biology,kids"
8486,A flight on solar wings,https://www.ted.com/talks/paul_maccready_a_flight_on_solar_wings,"technology,design,invention,business,flight,energy,drones,solar energy,renewable energy",379.0,Nature vs. humans,"technology,computers,entertainment,media,music,performance,software,UX design"
8642,My magic moves,https://www.ted.com/talks/kenichi_ebina_my_magic_moves,"culture,entertainment,performance,dance",287.0,"""Clonie""","technology,design,industrial design,invention,business,transportation,art"
8726,"Life at 30,000 feet",https://www.ted.com/talks/richard_branson_life_at_30_000_feet,"global issues,technology,business,entrepreneur,flight,entertainment,music,interview,space","1580.0,1580.0","Smart failure for a fast-changing world,Smart failure for a fast-changing world","design,creativity,art,illusion,Brazil,animation,design,creativity,art,illusion,Brazil,animation"
8996,Laws that choke creativity,https://www.ted.com/talks/lawrence_lessig_laws_that_choke_creativity,"technology,business,entertainment,creativity,law","871.0,1390.0","Re-examining the remix,The $8 billion iPod","environment,science,technology,design,DNA,animals,evolution,biology,biomimicry,fish,culture,business,marketing,storytelling,decision-making"
9463,The music wars,https://www.ted.com/talks/david_pogue_the_music_wars,"technology,entertainment,music,humor","131.0,1500.0","Rethink the desktop with BumpTop,A young guitarist meets his hero","global issues,design,engineering,industrial design,invention,renewable energy,culture,business,economics,transportation,parenting,statistics"
9525,Design and destiny,https://www.ted.com/talks/philippe_starck_design_and_destiny,"design,philosophy,storytelling,humanity,humor","27.0,27.0","Organic design, inspired by nature,Organic design, inspired by nature","design,business,entrepreneur,architecture,urban planning,gaming,homelessness,design,business,entrepreneur,architecture,urban planning,gaming,homelessness"
10081,The mystery box,https://www.ted.com/talks/j_j_abrams_the_mystery_box,"technology,entertainment,storytelling,film,humor","44912.0,44912.0","Mentalism, mind reading and the art of getting inside your head,Mentalism, mind reading and the art of getting inside your head","education,storytelling,leadership,sports,motivation,personal growth,TEDx,kids,education,storytelling,leadership,sports,motivation,personal growth,TEDx,kids"
10459,The idea behind Zipcar (and what comes next),https://www.ted.com/talks/robin_chase_the_idea_behind_zipcar_and_what_comes_next,"technology,business,transportation,cities",1174.0,A future beyond traffic gridlock,"culture,global issues,music,collaboration,social change,art,storytelling,activism,film"
10687,What security means to me,https://www.ted.com/talks/eve_ensler_what_security_means_to_me,"culture,global issues,technology,activism,war,spoken word,women,violence",1078.0,On being a woman and a diplomat,"social change,gender,parenting,society,TEDx,Transgender"
10939,The Jill and Julia Show,https://www.ted.com/talks/jill_sobule_julia_sweeney_the_jill_and_julia_show,"entertainment,music,collaboration,storytelling,comedy,humor",1224.0,The conscience of television,"culture,global issues,technology,business,software,collaboration,library"
12103,Free or cheap Wii Remote hacks,https://www.ted.com/talks/johnny_lee_free_or_cheap_wii_remote_hacks,"technology,design,business,entertainment,education,demo,gaming,cyber security","131.0,1278.0","Rethink the desktop with BumpTop,How games make kids smarter","global issues,design,engineering,industrial design,invention,renewable energy,culture,entertainment,performance,love,philosophy,poetry"
12715,Wake up! It's They Might Be Giants!,https://www.ted.com/talks/they_might_be_giants_wake_up_it_s_they_might_be_giants,"entertainment,music,performance,humor",287.0,"""Clonie""","technology,design,industrial design,invention,business,transportation,art"
12841,Can we domesticate germs?,https://www.ted.com/talks/paul_ewald_can_we_domesticate_germs,"global issues,science,disease,health,evolution,biology,medicine,illness,bacteria,microbiology",24006.0,The loathsome lethal mosquito,"global issues,politics,technology,business,economics,innovation,future,potential,Asia,india,infrastructure,international development"
13093,Designing objects that tell stories,https://www.ted.com/talks/yves_behar_designing_objects_that_tell_stories,"design,business,computers,creativity,sex,society",27.0,"Organic design, inspired by nature","design,business,entrepreneur,architecture,urban planning,gaming,homelessness"
